lat,lng,anomaly,grid_label
37.537137,126.649466,1,KECABBAB
37.53707,126.649523,1,KECABBAB
37.537027,126.649533,1,KECABBAB
37.53699,126.649555,1,KECABBAB
37.536967,126.649577,1,KECABBAB
37.536953,126.6496,1,KECABBAB
37.536858,126.649775,1,KECABBAB
37.536795,126.64989,1,KECABBAB
37.536752,126.64997,1,KECABBAB
37.536803,126.649935,1,KECABBAB
37.536819,126.649929,1,KECABBAB
37.53784,126.648342,1,KECABBAA
37.53784,126.648342,1,KECABBAA
37.5336,126.653452,1,KECABBAD
37.535062,126.653194,1,KECABBAD
37.535062,126.653194,1,KECABBAD
37.53191,126.647907,1,KECABBAC
37.531877,126.646888,1,KECABBAC
37.531881,126.646855,1,KECABBAC
37.531881,126.646855,1,KECABBAC
37.533812,126.644244,1,KECABBAC
37.533506,126.644731,1,KECABBAC
37.535392,126.644676,1,KECABBAC
37.535393,126.644676,1,KECABBAC
37.535393,126.644676,1,KECABBAC
37.535059,126.644607,1,KECABBAC
37.534735,126.644619,1,KECABBAC
37.533306,126.644916,1,KECABBAC
37.533306,126.644916,1,KECABBAC
37.527572,126.618577,1,KECABACB
37.528205,126.612091,1,KECABACA
37.528306,126.612184,1,KECABACA
37.528907,126.612937,1,KECABACA
37.529102,126.613319,1,KECABAAC
37.529596,126.614185,1,KECABAAC
37.529859,126.614488,1,KECABAAC
37.530687,126.615026,1,KECABAAC
37.530925,126.615084,1,KECABAAC
37.531892,126.615004,1,KECABAAC
37.532252,126.614959,1,KECABAAC
37.533086,126.614827,1,KECABAAC
37.533426,126.614694,1,KECABAAC
37.534142,126.614187,1,KECABAAC
37.534416,126.613909,1,KECABAAC
37.535054,126.613261,1,KECABAAC
37.535338,126.612998,1,KECABAAC
37.536062,126.612465,1,KECABAAA
37.53644,126.612262,1,KECABAAA
37.537323,126.611935,1,KECABAAA
37.537812,126.611876,1,KECABAAA
37.538658,126.611851,1,KECABAAA
37.538827,126.611859,1,KECABAAA
37.539239,126.612998,1,KECABAAA
37.539334,126.614221,1,KECABAAA
37.539349,126.614522,1,KECABAAA
37.539322,126.614819,1,KECABAAA
37.538964,126.615948,1,KECABAAA
37.538918,126.616094,1,KECABAAA
37.538538,126.617153,1,KECABAAA
37.538398,126.617556,1,KECABAAA
37.537988,126.61931,1,KECABAAB
37.536015,126.628384,1,KECABABA
37.53599,126.629841,1,KECABABA
37.535998,126.630275,1,KECABABA
37.535995,126.631563,1,KECABABA
37.536003,126.632215,1,KECABABA
37.535703,126.638693,1,KECABABB
37.536014,126.640468,1,KECABABB
37.536009,126.64066,1,KECABABB
37.536013,126.642043,1,KECABBAA
37.536013,126.642624,1,KECABBAA
37.536013,126.643886,1,KECABBAA
37.536012,126.644257,1,KECABBAA
37.536845,126.644633,1,KECABBAA
37.539216,126.647389,1,KECABBAA
37.538746,126.646797,1,KECABBAA
37.538687,126.646873,1,KECABBAA
37.538687,126.646873,1,KECABBAA
37.538269,126.646503,1,KECABBAA
37.538138,126.646486,1,KECABBAA
37.538138,126.646486,1,KECABBAA
37.53864,126.648499,1,KECABBAA
37.538086,126.648599,1,KECABBAA
37.538073,126.648606,1,KECABBAA
37.538073,126.648606,1,KECABBAA
37.538397,126.646744,1,KECABBAA
37.538389,126.646734,1,KECABBAA
37.538389,126.646734,1,KECABBAA
37.537867,126.644749,1,KECABBAA
37.537874,126.64468,1,KECABBAA
37.537874,126.64468,1,KECABBAA
37.537462,126.647309,1,KECABBAA
37.537797,126.647207,1,KECABBAA
37.537797,126.647207,1,KECABBAA
37.538031,126.648516,1,KECABBAA
37.53835,126.648546,1,KECABBAA
37.539093,126.644863,1,KECABBAA
37.539104,126.644904,1,KECABBAA
37.538019,126.644234,1,KECABBAA
37.536627,126.643776,1,KECABBAA
37.533772,126.645485,1,KECABBAC
37.533729,126.645481,1,KECABBAC
37.533694,126.645483,1,KECABBAC
37.533694,126.645483,1,KECABBAC
37.538616,126.646932,1,KECABBAA
37.538588,126.646927,1,KECABBAA
37.538046,126.646005,1,KECABBAA
37.538,126.64458,1,KECABBAA
37.537511,126.644828,1,KECABBAA
37.537294,126.643283,1,KECABBAA
37.537294,126.643283,1,KECABBAA
37.537358,126.647954,1,KECABBAA
37.536016,126.64967,1,KECABBAB
37.536016,126.64967,1,KECABBAB
37.535945,126.650339,1,KECABBAB
37.53595,126.65036,1,KECABBAB
37.53595,126.65036,1,KECABBAB
37.536263,126.653032,1,KECABBAB
37.53634,126.650757,1,KECABBAB
37.53582,126.649612,1,KECABBAB
37.536468,126.64823,1,KECABBAA
37.536468,126.64823,1,KECABBAA
37.539373,126.646819,1,KECABBAA
